,latitude,longitude,price,beds,bath,square,year,Residential,Condominium
131,50.46415805,-104.62221024543184,134000,3.0,1.0,1002,1982.0,1.0,0.0
132,50.4812778,-104.60236125014828,275000,4.0,2.0,936,1959.0,1.0,0.0
133,50.4302655,-104.5167589,398900,3.0,3.0,1485,2022.0,1.0,0.0
134,50.4268855,-104.62423970511324,339900,3.0,2.0,1000,1950.0,1.0,0.0
135,50.4903098,-104.68609268761055,239000,3.0,2.0,1080,1978.0,1.0,0.0
136,50.44815225,-104.6227991305602,199900,3.0,1.0,1324,1911.0,1.0,0.0
137,50.4293693,-104.5138026,385900,2.0,3.0,1248,2022.0,1.0,0.0
138,50.4509466,-104.6535542,224900,2.0,3.0,1087,2013.0,0.0,1.0
139,50.4269163,-104.52937418746528,409000,3.0,2.0,1210,1993.0,1.0,0.0
140,50.44956075,-104.59738257503906,139900,5.0,2.0,986,1958.0,1.0,0.0
141,50.46064225,-104.63582015654762,149900,3.0,2.0,920,1916.0,1.0,0.0
142,50.5000811,-104.6059981427959,429910,3.0,3.0,1581,2008.0,1.0,0.0
143,50.4078428,-104.66194615994084,429900,4.0,4.0,1407,2017.0,1.0,0.0
144,50.4767537,-104.65005227536965,349900,4.0,2.0,1020,1961.0,1.0,0.0
145,50.4146236,-104.6522177975959,599900,4.0,4.0,1889,2013.0,1.0,0.0
146,50.41068245,-104.60456790734372,329000,3.0,2.0,1542,1961.0,1.0,0.0
147,50.455289,-104.6125437,259900,1.0,1.0,1254,1913.0,0.0,1.0
148,50.43062225,-104.62855224484252,274900,2.0,1.0,851,1919.0,1.0,0.0
149,50.4293912,-104.5205087,555000,3.0,3.0,1811,2022.0,1.0,0.0
150,50.45643025,-104.63808282451424,139900,3.0,1.0,960,1928.0,1.0,0.0
151,50.4559123,-104.6279516531101,109000,3.0,1.0,902,1926.0,1.0,0.0
152,50.47654475,-104.62717865,244900,3.0,1.0,1020,1957.0,1.0,0.0
153,50.4453825,-104.5704418,149000,2.0,1.0,792,1963.0,1.0,0.0
154,50.41639255,-104.65689883687092,539539,5.0,3.0,2369,2013.0,1.0,0.0
155,50.4879524,-104.63885101093156,264900,3.0,2.0,857,1975.0,1.0,0.0
156,50.45336795,-104.538000944835,339900,5.0,3.0,1275,1979.0,1.0,0.0
157,50.4247375,-104.62978823551572,294000,4.0,2.0,960,1953.0,1.0,0.0
